sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_15A,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_22A,sg_23,sg_24,sg_25,sg_26,sg_26A,sg_26B,sg_26C,sg_26D,sg_26E,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_43A,sg_44,sg_45,sg_46,sg_47,sg_48,sg_48A,sg_48B,sg_48C,sg_48D,sg_48E,sg_48F,sg_48G,sg_48H,sg_48I,sg_48J,sg_48K,sg_48L,sg_48M,sg_48N,sg_48O,sg_48P,sg_48Q,sg_48R,sg_49,sg_50,sg_51,sg_52,sg_52A,sg_53,sg_54,sg_55,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,eu_1,eu_2,eu_3,eu_4,eu_5,eu_6,eu_7,eu_8,eu_9,eu_10,eu_11,eu_12,eu_13,eu_14,eu_15,eu_16,eu_17,eu_18,eu_19,eu_20,eu_21,eu_22,eu_23,eu_24,eu_25,eu_26,eu_27,eu_28,eu_29,eu_30,eu_31,eu_32,eu_33,eu_34,eu_35,eu_36,eu_37,eu_38,eu_39,eu_40,eu_41,eu_42,eu_43,eu_44,eu_45,eu_46,eu_47,eu_48,eu_49,eu_50,eu_51,eu_52,eu_53,eu_54,eu_55,eu_56,eu_57,eu_58,eu_59,eu_60,eu_61,eu_62,eu_63,eu_64,eu_65,eu_66,eu_67,eu_68,eu_69,eu_70,eu_71,eu_72,eu_73,eu_74,eu_75,eu_76,eu_77,eu_78,eu_79,eu_80,eu_81,eu_82,eu_83,eu_84,eu_85,eu_86,eu_87,eu_88,eu_89,eu_90,eu_91,eu_92,eu_93,eu_94,eu_95,eu_96,eu_97,eu_98
eu_19,88,92,98,90,81,88,93,96,87,87,92,86,92,90,94,87,89,78,82,84,82,85,78,75,83,79,80,73,83,83,80,78,77,83,87,87,97,95,98,77,90,95,89,81,98,89,90,83,75,77,74,81,73,84,93,86,87,75,90,76,74,87,77,74,81,93,88,88,88,79,78,89,87,89,83,88,87,80,93,93,80,93,86,94,80,95,85,91,89,94,70,84,85,73,73,76,82,82,72,80,83,85,80,72,0,87,93,76,93,87,83,90,78,97,73,85,81,84,70,72,84,88,74,74,79,91,79,92,86,84,81,83,85,82,82,68,92,93,80,81,96,84,101,100,91,78,92,76,92,91,87,93,88,84,93,94,98,98,101,94,95,93,79,78,71,82,85,84,77,96,79,81,80,83,114,85,72,87,91,91,87,80,91,74
eu_20,22,20,23,21,26,20,22,22,20,22,22,19,21,21,21,23,20,37,23,32,22,19,21,31,21,21,20,33,24,18,31,41,34,24,27,23,21,22,24,42,19,22,19,32,23,20,22,24,58,34,32,23,46,25,19,23,19,54,20,66,31,16,52,38,38,22,22,19,20,44,35,22,23,20,28,21,22,21,21,19,26,23,18,19,25,21,24,22,21,23,39,21,21,68,38,58,37,88,67,76,24,14,27,21,87,0,13,47,21,24,33,19,57,22,49,25,30,19,50,45,27,20,27,26,24,20,33,21,19,25,37,35,20,43,28,49,20,23,50,41,22,32,24,23,19,82,20,32,21,21,25,21,19,23,23,20,20,23,22,20,20,19,34,48,54,22,22,16,41,22,42,41,36,31,145,20,55,23,21,25,31,40,21,37
eu_21,20,15,13,12,29,19,15,13,17,18,16,18,14,14,12,24,14,38,24,37,18,17,21,32,21,21,20,38,21,18,33,42,39,21,26,19,11,14,14,46,17,14,16,32,12,14,17,21,64,36,33,24,48,25,11,22,16,59,18,70,32,13,58,40,40,17,19,19,20,47,36,15,17,16,29,18,17,27,17,10,26,18,19,11,27,13,20,14,15,13,41,21,15,74,40,63,38,92,70,78,22,11,30,23,93,13,0,52,13,24,33,12,63,14,50,26,35,18,58,48,27,15,32,30,28,11,31,14,15,26,40,36,18,45,28,52,18,14,55,46,13,38,15,13,13,88,15,35,18,17,24,15,19,24,14,16,13,14,14,16,13,15,42,57,58,20,21,23,46,13,44,41,39,29,151,15,58,20,16,22,29,39,15,41
eu_22,45,50,54,48,46,47,48,50,46,48,48,46,49,46,49,45,47,45,47,48,45,47,46,49,46,45,45,44,48,47,43,45,47,48,48,48,53,50,51,46,47,50,47,46,53,47,50,48,55,46,47,47,43,42,50,46,46,49,47,64,44,47,53,44,42,46,46,47,48,48,48,45,48,47,44,44,48,41,48,50,44,46,46,49,41,49,47,47,48,50,47,45,46,66,46,56,45,85,65,71,49,46,49,43,76,47,52,0,50,45,44,47,59,52,50,45,48,47,55,52,46,49,47,46,47,49,47,49,47,46,44,49,46,48,45,49,47,51,53,49,51,48,54,54,48,78,46,47,48,49,47,50,47,46,51,51,54,52,54,51,52,48,49,53,52,48,44,43,44,51,45,46,45,45,134,49,54,48,49,48,48,45,47,46
eu_23,24,9,10,13,25,19,14,7,17,18,16,15,12,16,11,22,17,38,28,37,16,18,21,31,21,21,20,37,20,21,37,46,42,20,26,18,8,6,11,45,19,14,14,36,11,17,17,20,64,34,34,25,47,23,13,23,16,59,17,70,31,15,57,38,39,14,17,18,16,46,37,15,18,13,29,18,15,28,17,13,26,18,17,11,27,7,22,11,12,5,42,19,18,74,41,62,39,94,74,84,30,14,34,22,93,21,13,50,0,25,33,13,63,10,52,23,36,17,59,52,26,13,33,31,28,13,33,6,11,24,39,36,20,43,25,51,16,12,55,47,11,38,10,10,13,89,15,36,16,18,24,14,18,22,12,15,7,10,11,16,10,13,48,61,62,23,19,28,44,8,45,41,39,32,153,18,59,20,16,22,30,40,14,42
eu_24,26,27,28,23,27,25,26,27,24,26,25,25,24,22,27,26,24,35,27,33,23,25,23,28,24,23,21,33,24,25,35,39,40,24,28,22,26,26,28,39,24,22,26,25,26,24,25,24,58,34,30,24,43,27,26,27,25,54,27,62,27,25,54,37,33,26,26,27,27,43,32,23,21,25,29,27,23,28,25,26,27,23,27,24,30,26,28,26,25,26,39,27,22,66,36,57,37,82,65,74,27,24,33,28,87,24,24,45,25,0,33,19,56,28,37,27,32,23,53,46,30,27,28,28,27,24,30,26,24,25,35,35,23,38,29,44,24,28,46,36,27,35,30,29,24,78,28,33,24,19,24,26,25,25,28,20,27,28,30,21,29,25,44,56,51,24,22,30,40,27,41,40,36,28,139,24,56,23,25,27,26,34,24,39
eu_25,30,32,36,32,32,32,35,35,34,32,33,30,35,30,33,32,33,38,27,36,32,31,25,31,30,23,26,36,26,31,31,39,41,26,32,29,36,34,35,41,31,33,34,34,35,33,33,26,54,30,35,28,42,32,33,28,32,47,34,60,30,34,41,29,38,33,32,30,34,45,37,31,30,34,34,33,31,27,35,33,30,33,34,34,33,34,31,33,33,34,38,33,30,65,39,56,38,81,63,68,31,34,35,33,83,33,33,44,33,33,0,34,56,35,49,32,34,33,52,44,20,34,35,35,33,31,33,35,31,33,33,36,33,39,31,43,34,33,48,42,34,35,38,37,33,79,33,34,32,32,30,33,35,32,33,34,36,34,38,34,34,34,44,52,55,29,32,30,37,35,37,41,38,33,137,32,46,32,34,34,35,39,33,36
eu_26,21,15,15,15,27,18,14,15,15,17,17,17,13,15,13,24,18,37,26,35,17,18,21,30,20,21,20,35,22,19,33,40,40,22,24,19,14,13,14,43,17,13,14,33,13,18,16,22,61,35,30,23,46,23,12,22,15,58,16,68,32,19,55,38,40,16,19,18,18,44,35,15,17,15,27,16,19,26,17,14,24,17,19,13,25,14,23,15,17,13,40,19,15,70,38,61,38,91,67,79,30,18,34,26,90,19,12,47,13,19,34,0,59,14,45,26,34,17,55,48,26,13,34,30,29,13,32,15,15,22,39,34,15,44,28,49,19,14,52,46,14,35,16,13,15,86,17,31,16,15,24,14,19,22,14,15,14,14,16,16,15,12,46,59,55,24,19,26,42,13,43,40,38,27,148,16,57,21,14,25,33,39,13,41
eu_27,58,60,68,62,55,58,62,65,58,60,64,61,63,58,62,54,61,56,54,52,59,57,55,46,59,55,53,54,58,62,57,53,51,58,58,59,66,66,68,56,61,63,60,57,67,61,60,58,59,53,55,56,53,53,64,56,61,59,62,58,52,58,61,52,54,63,57,59,57,54,52,61,61,60,60,58,58,53,62,64,52,60,61,63,60,64,60,64,63,66,52,56,57,68,55,61,51,74,62,67,56,58,57,54,78,57,63,59,63,56,56,59,0,65,55,50,55,58,54,55,57,59,52,54,55,62,55,62,59,58,52,58,60,46,54,55,62,65,53,54,66,52,70,69,62,72,63,55,62,60,56,61,59,59,65,61,66,67,70,61,65,64,56,58,60,51,56,56,53,66,52,56,55,56,123,61,56,56,61,57,58,52,62,49
eu_28,24,11,7,16,28,19,17,9,18,19,17,17,14,15,12,27,17,41,29,37,20,18,22,31,20,20,22,36,23,22,34,46,46,23,25,21,7,10,8,47,17,12,16,38,7,17,16,23,63,38,34,23,51,25,11,24,17,60,20,71,36,20,60,40,42,17,17,19,19,48,39,17,21,15,29,19,18,27,16,11,29,19,20,11,30,9,26,11,13,10,41,18,19,77,40,64,39,96,76,85,30,19,37,28,97,22,14,52,10,28,35,14,65,0,52,26,35,16,59,54,27,12,37,33,31,13,33,10,17,26,40,37,20,45,30,55,17,11,56,49,9,38,8,5,14,91,15,37,19,16,26,13,20,24,11,14,8,4,8,15,10,14,49,62,63,28,21,30,47,8,43,42,39,31,155,19,62,22,15,25,35,44,14,45
eu_29,47,52,55,51,45,50,51,54,48,50,51,48,51,47,53,50,49,45,48,47,48,48,47,43,47,45,47,46,46,50,49,50,50,46,49,49,55,54,55,47,48,48,51,41,56,49,50,46,55,48,47,48,48,49,50,48,51,54,49,58,39,48,50,44,47,52,48,50,48,45,47,50,47,50,46,50,43,46,53,50,45,48,47,53,42,54,49,52,50,53,45,49,49,64,38,47,40,77,62,69,47,49,47,41,73,49,50,50,52,37,49,45,55,52,0,51,46,45,52,51,49,50,41,39,42,50,45,53,50,46,42,46,47,48,49,47,48,53,46,43,54,47,59,56,50,62,53,43,51,48,46,51,49,46,53,50,56,52,57,51,54,52,50,55,38,46,49,50,51,53,38,39,35,35,126,47,50,47,49,50,50,48,51,46
eu_30,27,25,27,27,25,25,24,26,19,25,25,23,25,24,25,24,26,34,25,35,27,22,23,31,21,23,22,32,27,26,33,40,39,27,24,27,26,26,27,40,25,25,26,34,27,26,26,27,56,34,34,24,44,27,24,27,23,50,26,60,27,20,51,35,37,25,19,22,25,40,30,26,26,21,29,22,27,25,25,27,28,25,24,24,26,28,26,27,24,25,35,20,26,66,39,52,35,88,64,73,26,23,34,27,85,25,26,45,23,27,32,26,50,26,51,0,33,16,51,45,28,24,32,30,28,22,28,25,23,25,35,35,25,39,25,47,25,26,47,42,26,33,30,29,26,79,26,27,27,26,29,24,24,27,26,25,26,27,30,24,25,25,42,54,56,25,21,26,33,25,36,37,34,33,136,28,49,24,25,23,31,38,25,37
eu_31,32,34,38,33,33,33,35,36,33,28,31,33,32,33,36,32,35,33,31,35,32,31,26,28,31,27,28,38,29,33,34,42,36,29,32,28,37,36,39,39,31,34,31,37,36,35,34,29,55,34,34,30,44,27,33,34,33,53,35,58,33,31,51,36,37,34,30,33,32,42,36,33,31,33,36,35,30,26,36,33,30,35,30,35,34,35,35,35,34,35,40,35,31,64,39,56,34,79,64,71,35,32,36,35,81,30,35,48,36,32,34,34,55,35,46,33,0,33,32,44,35,33,31,31,35,34,35,33,30,32,38,36,33,40,29,41,22,38,28,24,35,15,39,37,32,57,36,16,32,29,33,34,33,30,38,32,37,37,38,33,36,32,23,39,58,33,32,33,41,37,39,40,39,30,133,31,52,29,30,33,31,36,31,41
eu_32,21,18,17,18,26,15,18,18,10,19,20,17,18,15,17,24,16,36,22,35,18,19,18,27,14,18,17,32,21,21,35,43,39,21,21,19,19,19,19,42,18,13,18,32,19,16,18,21,58,35,30,21,44,23,15,21,19,53,17,64,28,17,56,36,39,18,18,19,18,41,32,19,18,17,27,13,18,25,14,17,27,17,19,16,24,18,22,17,16,17,35,9,16,72,37,60,40,90,70,79,30,19,34,16,84,19,18,47,17,23,33,17,58,16,45,16,33,0,53,46,24,18,30,28,27,17,26,16,18,24,36,33,19,42,25,47,18,20,50,45,19,35,21,19,15,83,18,33,18,17,26,15,16,23,20,18,18,18,20,17,15,20,46,58,56,24,11,30,40,18,41,39,38,31,144,19,56,19,14,22,31,39,17,39
eu_33,55,58,63,54,48,55,58,61,53,54,56,52,56,54,59,53,55,48,46,48,46,51,44,46,49,44,45,41,52,45,51,54,47,52,53,49,62,59,62,45,55,56,55,52,62,55,57,52,50,48,50,50,54,51,57,52,55,56,58,60,50,51,52,53,53,58,55,55,53,53,50,52,53,56,53,56,53,44,58,57,48,56,54,58,50,60,54,56,56,60,50,54,53,63,44,46,52,74,54,61,48,54,50,52,70,50,58,55,59,53,52,55,54,59,52,51,32,53,0,23,51,56,43,43,48,57,47,58,53,53,50,49,53,52,51,47,47,59,35,32,60,36,64,63,56,55,58,36,56,52,50,58,55,50,59,55,62,61,64,56,59,56,34,39,59,52,53,51,56,60,53,53,51,52,126,53,54,53,55,56,53,52,55,50
eu_34,47,50,54,46,43,47,51,54,43,45,46,44,48,46,50,45,47,40,38,46,42,43,35,39,40,37,37,36,46,39,42,43,43,46,46,43,55,51,54,40,48,49,49,43,53,47,49,46,53,43,46,41,52,47,50,46,47,52,49,58,43,45,48,47,47,52,49,47,49,48,44,45,42,48,47,47,45,40,51,50,42,47,48,51,46,53,46,49,49,52,49,48,44,61,42,48,47,63,38,47,31,48,45,47,72,45,48,52,52,46,44,48,55,54,51,45,44,46,23,0,43,51,37,37,42,47,39,51,46,46,47,47,46,49,46,46,50,51,52,50,50,45,56,55,49,71,50,43,47,46,44,48,50,44,51,49,54,52,55,49,52,50,49,57,58,40,44,47,48,52,49,47,45,45,128,45,55,46,44,48,45,48,45,40
eu_35,24,25,29,25,24,25,26,28,27,22,27,26,28,22,25,28,24,36,25,34,24,28,24,31,27,22,25,34,21,26,28,38,39,21,27,24,29,27,29,39,23,25,26,33,27,24,25,21,53,29,33,27,42,25,27,25,25,50,27,64,31,27,43,32,37,28,26,27,29,42,33,25,23,27,31,27,23,25,27,26,27,26,26,29,27,27,28,25,25,26,39,24,23,67,40,55,40,83,64,73,28,25,34,25,84,27,27,46,26,30,20,26,57,27,49,28,35,24,51,43,0,26,33,32,29,27,32,26,26,26,34,33,27,42,28,43,28,28,50,44,27,37,30,30,27,80,26,34,25,26,26,27,27,26,28,28,29,28,31,28,27,28,43,52,56,23,26,29,37,27,43,39,37,30,139,25,47,27,27,28,31,37,26,36
eu_36,23,11,14,17,25,17,13,13,20,18,18,16,16,15,13,19,18,36,26,34,19,19,21,29,20,20,21,33,23,21,32,42,39,23,26,20,16,13,16,42,19,16,13,34,14,18,18,23,59,33,32,23,44,22,13,20,15,56,17,67,31,16,54,36,40,16,13,18,17,44,36,16,19,14,28,19,18,23,15,13,27,21,15,15,26,11,25,16,15,14,40,21,17,70,38,59,34,91,71,79,28,14,34,27,88,20,15,49,13,27,34,13,59,12,50,24,33,18,56,51,26,0,33,29,28,14,30,12,17,25,37,36,18,39,23,49,17,17,52,47,16,37,17,15,17,84,15,33,17,17,25,16,16,23,17,17,15,13,16,17,14,15,45,60,62,25,21,27,40,13,40,39,35,29,147,18,56,16,19,25,33,40,17,38
eu_37,33,32,39,31,25,31,35,34,31,33,34,30,33,32,34,31,33,35,28,36,30,35,30,28,33,30,28,34,30,30,35,40,30,30,31,28,36,36,36,32,30,32,33,33,38,33,32,30,51,31,37,33,45,31,34,29,31,51,34,56,29,27,39,35,41,34,33,33,33,41,34,32,30,32,29,31,28,33,34,36,30,34,32,36,32,35,32,34,34,33,38,32,33,62,37,50,37,79,58,67,31,30,36,30,74,27,32,47,33,28,35,34,52,37,41,32,31,30,43,37,33,33,0,5,10,34,30,33,30,33,35,36,32,42,26,35,35,35,44,41,35,33,41,39,35,71,35,33,33,27,34,34,32,25,35,31,38,37,38,30,36,34,44,54,52,26,27,33,37,36,40,39,28,32,133,28,49,28,33,31,31,39,34,34
eu_38,30,29,35,29,22,29,32,33,28,32,30,25,30,27,33,32,30,33,28,35,30,32,28,29,31,27,28,32,29,26,34,41,31,29,30,28,35,33,33,32,28,30,30,32,35,30,32,29,48,31,35,30,44,30,30,29,30,50,31,56,30,26,38,33,39,31,28,30,30,41,32,29,27,30,25,28,29,30,31,32,28,32,28,33,31,33,30,32,32,33,36,30,29,59,34,47,34,80,58,67,30,28,35,29,74,26,30,46,31,28,35,30,54,33,39,30,31,28,43,37,32,29,5,0,7,30,27,31,28,32,34,35,31,42,28,37,33,32,44,42,32,30,38,35,32,71,32,33,30,25,32,32,30,23,32,28,35,33,35,27,34,31,44,53,51,28,27,32,37,33,37,38,25,29,136,29,51,25,29,30,30,38,31,35
eu_39,28,27,33,27,20,30,30,30,27,30,30,25,28,30,30,30,28,36,31,33,29,28,30,34,30,29,30,29,27,26,33,41,34,27,29,31,32,31,31,36,26,28,28,31,33,28,29,27,55,30,34,28,43,29,28,29,29,52,30,61,32,24,43,32,37,29,27,27,28,40,33,26,27,28,25,27,27,31,30,30,27,31,27,29,29,29,28,28,29,31,37,26,30,64,36,49,35,82,62,71,29,26,35,27,79,24,28,47,28,27,33,29,55,31,42,28,35,27,48,42,29,28,10,7,0,27,30,30,27,30,30,31,30,38,31,40,31,30,48,39,29,32,31,33,30,75,29,34,28,28,29,29,29,20,30,21,32,31,32,20,31,30,44,55,53,30,27,31,41,31,39,39,27,31,138,30,50,25,28,28,30,38,31,36
eu_40,21,15,15,14,29,17,14,13,13,17,14,16,13,10,10,23,12,35,24,35,18,16,17,29,18,18,18,34,21,21,32,42,40,21,24,19,15,14,13,44,19,12,15,32,11,12,16,21,61,36,30,19,45,26,12,21,17,55,18,66,30,17,58,38,38,16,15,17,17,46,36,14,15,15,28,17,17,26,15,11,27,13,19,7,29,13,24,13,16,13,40,17,11,72,38,61,38,91,70,78,26,17,34,26,91,20,11,49,13,24,31,13,62,13,50,22,34,17,57,47,27,14,34,30,27,0,24,12,15,26,36,37,19,43,27,52,17,12,52,45,12,34,15,14,15,87,15,33,16,16,26,13,18,23,12,13,14,12,15,13,14,14,46,61,62,22,17,28,42,15,41,39,36,30,150,16,56,19,13,22,34,40,13,40
eu_41,29,31,35,30,31,28,32,35,27,30,31,30,31,27,31,34,28,33,24,36,30,32,28,30,29,29,29,33,30,30,33,41,34,30,27,31,37,34,34,39,33,31,32,32,34,28,33,30,55,33,32,31,43,30,32,31,32,47,31,57,29,27,52,38,39,32,29,33,32,43,30,27,29,32,33,30,30,33,30,32,31,30,30,30,32,35,33,30,30,35,35,28,26,65,30,54,36,79,60,69,30,31,35,32,79,33,31,47,33,30,33,32,55,33,45,28,35,26,47,39,32,30,30,27,30,24,0,33,31,32,37,35,28,40,32,43,33,32,49,44,33,33,37,36,32,78,32,31,32,28,34,30,31,29,32,31,36,33,37,33,35,34,44,54,54,32,28,34,42,35,39,36,33,28,136,29,48,28,29,31,34,37,31,41
eu_42,22,8,12,13,28,17,17,7,17,16,15,18,13,16,11,19,17,37,27,37,14,20,20,30,21,21,20,36,21,19,36,44,41,21,25,19,10,7,12,43,19,14,10,34,11,17,17,21,63,32,34,24,44,21,12,22,15,58,19,69,32,15,58,39,41,16,14,18,17,46,38,15,18,12,29,19,18,28,16,13,22,18,17,13,27,9,24,12,12,7,42,20,16,73,39,63,36,93,75,83,30,11,36,27,92,21,14,49,6,26,35,15,62,10,53,25,33,16,58,51,26,12,33,31,30,12,33,0,7,25,37,38,19,43,23,51,15,13,54,47,12,37,12,13,13,87,14,34,16,17,25,15,15,24,13,16,11,11,10,17,9,11,48,60,62,24,20,28,42,10,43,41,37,32,152,19,58,17,16,23,32,41,14,42
eu_43,21,15,17,12,24,18,16,14,16,15,17,17,17,15,16,23,16,35,24,34,12,19,19,28,20,20,19,34,19,17,34,42,39,19,23,17,16,12,17,41,19,17,16,31,17,16,17,19,60,30,32,23,40,22,15,22,15,55,20,66,28,18,53,35,38,17,19,18,20,43,34,14,15,15,25,17,16,25,18,17,19,17,20,17,25,16,21,15,14,12,40,20,15,68,37,59,39,87,71,78,29,18,34,25,86,19,15,47,11,24,31,15,59,17,50,23,30,18,53,46,26,17,30,28,27,15,31,7,0,23,36,35,18,42,26,46,17,18,52,46,16,35,18,18,14,83,17,31,18,18,23,17,21,23,18,17,17,17,17,17,16,15,46,57,59,20,19,25,40,15,43,39,35,30,147,17,57,21,17,22,30,37,14,41
eu_44,25,24,26,26,27,26,26,25,25,25,25,22,25,22,23,27,23,35,28,31,25,25,26,28,25,26,25,33,22,24,34,41,41,22,26,24,26,25,27,40,24,25,23,33,27,23,20,22,59,33,32,26,44,26,24,27,21,54,25,65,28,24,53,35,35,26,24,24,23,38,33,24,24,17,28,24,24,28,26,26,29,25,24,26,25,27,27,24,24,24,39,25,20,66,38,53,38,82,64,74,29,26,32,27,84,25,26,46,24,25,33,22,58,26,46,25,32,24,53,46,26,25,33,32,30,26,32,25,23,0,36,30,23,39,28,43,25,25,43,43,26,34,28,27,25,79,23,33,25,22,27,23,25,26,25,25,25,26,28,26,26,26,44,55,56,25,25,30,33,24,41,38,37,31,135,25,52,26,26,24,33,38,25,39
eu_45,36,38,42,39,33,34,39,40,37,36,39,35,36,36,41,35,37,38,36,41,37,35,35,32,36,34,35,30,36,35,37,44,42,36,35,38,42,41,41,43,36,37,36,37,41,37,36,36,53,38,36,35,40,34,38,37,37,52,37,59,31,35,50,36,38,38,34,34,36,45,36,38,36,37,36,36,33,34,37,38,34,34,35,39,33,39,36,38,37,39,41,32,37,65,39,54,35,79,64,70,36,36,40,36,81,37,40,44,39,35,33,39,52,40,42,35,38,36,50,47,34,37,35,34,30,36,37,37,36,36,0,31,38,31,35,48,37,38,42,37,40,36,42,43,41,70,38,36,35,35,37,38,35,38,38,32,42,40,43,33,41,39,45,53,55,32,34,34,41,41,39,40,34,33,131,35,49,32,39,37,41,41,38,36
eu_46,36,36,38,38,36,36,33,39,31,34,38,34,34,36,37,34,37,42,36,36,35,30,34,34,33,33,34,29,32,34,37,41,41,32,34,36,38,38,40,42,34,35,35,37,39,37,34,32,56,35,36,30,42,34,34,35,36,54,34,65,36,33,54,39,42,35,34,34,31,42,36,34,35,35,33,33,33,36,37,35,33,34,32,36,34,38,31,36,33,39,37,31,36,65,38,53,39,80,64,73,35,35,37,35,83,35,36,49,36,35,36,34,58,37,46,35,36,33,49,47,33,36,36,35,31,37,35,38,35,30,31,0,30,34,34,46,34,38,49,43,38,38,39,39,35,77,36,38,36,34,34,33,36,33,38,31,37,38,40,33,35,36,45,55,57,32,32,37,42,38,39,40,39,36,135,37,54,33,35,35,36,40,35,42
eu_47,24,18,19,19,28,20,17,20,16,21,20,18,17,20,19,26,21,36,22,35,19,20,22,31,22,22,20,34,24,19,33,41,38,24,22,20,19,18,19,39,19,18,18,30,20,21,18,24,59,35,32,25,45,23,18,22,16,56,20,66,31,18,55,39,40,18,22,20,16,40,31,19,19,17,27,17,20,27,21,20,27,15,20,20,25,20,24,19,18,19,38,21,18,67,38,59,38,89,68,77,27,20,33,26,85,20,18,46,20,23,33,15,60,20,47,25,33,19,53,46,27,18,32,31,30,19,28,19,18,23,38,30,0,41,26,46,19,18,49,46,18,37,21,19,17,82,20,30,20,17,24,16,20,25,18,19,18,18,21,19,19,20,44,57,57,22,19,26,36,19,42,39,38,29,143,19,54,22,17,24,31,38,18,39
eu_48,42,41,47,44,40,40,44,44,41,42,45,42,42,40,44,39,43,39,41,40,42,42,42,37,43,41,42,32,39,43,43,44,44,39,41,42,47,45,48,45,44,45,42,39,47,43,43,39,54,41,32,40,43,39,43,41,43,48,43,56,40,41,53,41,45,42,38,42,39,42,36,43,43,42,43,42,40,41,42,46,40,42,41,43,40,43,44,44,41,45,42,41,40,67,39,55,37,76,63,69,40,43,42,42,82,43,45,48,43,38,39,44,46,45,48,39,40,42,52,49,42,39,42,42,38,43,40,43,42,39,31,34,41,0,39,47,37,46,48,44,47,40,48,48,46,72,45,40,42,41,39,44,40,42,46,39,47,45,49,40,43,43,46,52,53,42,39,40,44,46,44,44,42,40,131,43,52,38,45,41,43,43,43,45
eu_49,29,26,31,26,26,22,26,27,27,26,28,25,28,24,28,22,29,31,24,34,26,27,23,28,27,23,23,33,26,27,33,39,33,26,21,25,30,26,32,38,26,27,25,35,30,29,27,26,54,30,34,27,42,23,29,21,27,51,28,58,26,24,50,32,38,28,23,27,25,42,36,26,26,27,30,29,24,23,26,29,27,28,24,28,27,26,28,28,26,25,38,26,22,66,36,56,33,81,64,73,30,20,35,30,82,28,28,45,25,29,31,28,54,30,49,25,29,25,51,46,28,23,26,28,31,27,32,23,26,28,35,34,26,39,0,43,28,31,42,41,31,34,32,32,29,77,28,26,27,26,29,28,25,28,31,27,30,31,32,26,29,28,42,56,58,25,25,30,30,30,37,38,35,31,131,21,47,24,29,27,28,36,27,38
eu_50,48,48,57,49,39,48,51,53,47,44,51,48,50,47,52,47,47,46,44,43,46,42,35,32,40,35,36,47,41,50,45,48,42,41,45,45,56,53,56,42,49,50,48,43,56,47,47,41,56,36,36,36,49,43,51,46,49,51,50,56,37,47,44,40,47,52,50,49,47,44,44,47,48,49,47,48,47,43,51,51,43,51,47,53,44,55,49,50,50,52,28,48,45,61,34,54,49,67,56,62,47,48,45,41,68,49,52,49,51,44,43,49,55,55,47,47,41,47,47,46,43,49,35,37,40,52,43,51,46,43,48,46,46,47,43,0,50,52,40,47,54,47,59,57,51,71,53,42,52,46,45,51,48,39,52,49,55,55,58,50,53,52,49,54,58,47,46,45,43,53,44,50,45,41,122,48,53,46,50,48,45,47,50,45
eu_51,24,15,18,18,30,19,15,17,20,17,16,20,18,17,18,24,20,36,27,36,21,20,22,31,21,22,21,34,22,21,34,43,41,22,28,20,16,16,19,43,20,18,18,36,19,20,17,22,59,35,31,22,46,23,16,22,18,55,19,67,34,20,58,38,35,13,19,18,17,44,35,17,21,16,26,21,17,26,18,16,28,21,21,15,28,16,22,16,15,17,41,21,19,71,40,62,40,91,71,79,31,20,34,29,92,20,18,47,16,24,34,19,62,17,48,25,22,18,47,50,28,17,35,33,31,17,33,15,17,25,37,34,19,37,28,50,0,20,43,35,19,24,20,18,14,78,19,24,17,18,24,18,20,24,20,19,17,17,19,19,15,16,35,49,61,25,18,28,42,17,43,42,40,33,146,18,57,20,19,25,32,40,16,42
eu_52,21,9,10,16,32,21,17,10,16,18,16,17,12,17,11,25,18,39,25,37,21,19,23,34,22,23,22,34,21,19,33,44,42,21,24,23,10,12,7,44,19,14,17,33,9,18,16,21,65,35,34,24,48,25,12,24,14,60,17,70,34,20,58,41,42,16,20,15,21,49,39,18,18,12,30,17,19,30,20,13,31,17,22,13,30,12,23,11,15,11,43,21,17,75,44,64,40,97,71,80,31,20,38,30,93,23,14,51,12,28,33,14,65,11,53,26,38,20,59,51,28,17,35,32,30,12,32,13,18,25,38,38,18,46,31,52,20,0,57,49,6,39,12,11,15,88,14,37,16,18,27,13,20,25,0,17,10,9,12,17,11,12,50,62,63,26,20,31,45,10,44,43,40,34,153,19,61,22,15,25,34,42,16,45
