sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_15A,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_22A,sg_23,sg_24,sg_25,sg_26,sg_26A,sg_26B,sg_26C,sg_26D,sg_26E,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_43A,sg_44,sg_45,sg_46,sg_47,sg_48,sg_48A,sg_48B,sg_48C,sg_48D,sg_48E,sg_48F,sg_48G,sg_48H,sg_48I,sg_48J,sg_48K,sg_48L,sg_48M,sg_48N,sg_48O,sg_48P,sg_48Q,sg_48R,sg_49,sg_50,sg_51,sg_52,sg_52A,sg_53,sg_54,sg_55,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,eu_1,eu_2,eu_3,eu_4,eu_5,eu_6,eu_7,eu_8,eu_9,eu_10,eu_11,eu_12,eu_13,eu_14,eu_15,eu_16,eu_17,eu_18,eu_19,eu_20,eu_21,eu_22,eu_23,eu_24,eu_25,eu_26,eu_27,eu_28,eu_29,eu_30,eu_31,eu_32,eu_33,eu_34,eu_35,eu_36,eu_37,eu_38,eu_39,eu_40,eu_41,eu_42,eu_43,eu_44,eu_45,eu_46,eu_47,eu_48,eu_49,eu_50,eu_51,eu_52,eu_53,eu_54,eu_55,eu_56,eu_57,eu_58,eu_59,eu_60,eu_61,eu_62,eu_63,eu_64,eu_65,eu_66,eu_67,eu_68,eu_69,eu_70,eu_71,eu_72,eu_73,eu_74,eu_75,eu_76,eu_77,eu_78,eu_79,eu_80,eu_81,eu_82,eu_83,eu_84,eu_85,eu_86,eu_87,eu_88,eu_89,eu_90,eu_91,eu_92,eu_93,eu_94,eu_95,eu_96,eu_97,eu_98
eu_9,39,42,44,38,37,39,42,42,38,38,40,38,40,34,40,39,39,40,37,35,34,28,27,21,29,25,28,34,37,38,40,42,36,37,31,36,43,41,45,40,38,40,40,36,43,39,40,37,52,36,26,27,44,38,41,39,37,41,41,55,37,37,47,38,39,42,35,38,39,41,36,37,38,38,39,40,36,33,41,40,36,40,38,40,38,41,41,40,38,41,27,38,38,67,0,42,34,74,60,66,39,39,40,36,73,38,40,46,41,36,39,38,55,40,38,39,39,37,44,42,40,38,37,34,36,38,30,39,37,38,39,38,38,39,36,34,40,44,48,42,43,36,46,44,40,74,42,37,40,38,38,40,38,36,44,38,44,42,46,40,42,40,45,50,55,38,37,39,45,40,30,32,29,27,131,38,49,36,39,39,41,43,39,41
eu_10,59,62,68,60,50,61,61,64,60,58,62,56,62,57,63,58,59,55,56,51,60,54,54,54,55,51,54,45,58,59,57,58,52,58,56,61,67,63,66,52,63,65,58,54,67,59,61,58,56,56,60,55,58,58,61,57,59,52,62,58,53,57,55,53,56,62,55,58,59,57,54,61,55,58,53,60,57,52,63,63,52,61,56,64,51,65,59,62,59,63,48,62,58,61,42,0,47,79,63,65,59,58,57,57,76,58,63,56,62,57,56,61,61,64,47,52,56,60,46,48,55,59,50,47,49,61,54,63,59,53,54,53,59,55,56,54,62,64,60,56,65,57,70,68,63,73,63,52,61,61,59,63,57,55,64,62,67,65,70,63,65,61,54,62,60,56,58,55,53,64,49,45,43,48,125,61,54,57,63,60,61,55,61,54
eu_11,38,37,44,40,34,37,41,41,38,38,39,36,34,36,40,29,40,38,38,37,37,36,37,34,38,34,36,37,39,39,41,43,38,39,36,39,41,42,43,44,39,42,36,36,42,40,39,39,54,40,39,37,42,34,37,38,39,49,39,58,35,34,48,38,41,40,32,37,36,44,40,38,37,39,37,39,35,34,40,38,36,39,34,39,37,40,40,42,41,41,41,40,37,62,34,47,0,79,63,70,39,30,42,38,82,37,38,45,39,37,38,38,51,39,40,35,34,40,52,47,40,34,37,34,35,38,36,36,39,38,35,39,38,37,33,49,40,40,48,43,42,39,46,43,40,74,43,36,38,38,40,38,34,37,40,40,44,39,45,39,40,38,46,54,56,36,38,38,40,42,28,34,24,29,128,36,48,33,40,39,38,41,38,41
eu_12,87,95,99,90,86,89,90,98,89,88,90,89,92,89,95,87,91,76,83,81,86,87,84,75,87,83,84,79,84,88,77,76,79,84,86,85,98,95,99,74,89,92,89,81,99,91,90,84,76,75,77,83,81,85,94,86,90,75,91,74,78,91,77,78,80,93,91,90,91,80,80,88,87,92,85,92,86,84,93,94,80,89,88,93,84,97,86,94,92,94,75,89,86,79,74,79,79,0,65,68,77,90,84,84,82,88,92,85,94,82,81,91,74,96,77,88,79,90,74,63,83,91,79,80,82,91,79,93,87,82,79,80,89,76,81,67,91,97,70,80,97,83,100,100,92,83,92,79,91,87,84,93,92,86,97,90,99,97,101,90,95,94,79,80,80,79,87,80,77,96,80,81,79,80,119,89,75,86,89,90,86,85,90,80
eu_13,64,71,77,71,62,71,70,77,69,66,69,69,71,69,72,68,69,62,62,58,69,65,61,56,64,61,62,56,65,65,60,58,62,65,66,68,76,75,75,52,69,72,71,62,77,69,70,65,64,61,61,61,63,66,71,66,70,65,71,65,65,68,62,64,63,73,71,69,69,64,63,70,69,70,66,67,68,61,72,71,64,68,67,74,66,76,68,71,70,74,63,71,68,67,60,63,63,65,0,14,56,70,62,65,72,67,70,65,74,65,63,67,62,76,62,64,64,70,54,38,64,71,58,58,62,70,60,75,71,64,64,64,68,63,64,56,71,71,63,65,74,63,79,77,70,72,74,64,70,68,64,71,70,64,71,71,76,75,79,71,74,72,63,66,65,59,68,66,66,75,63,63,61,62,123,68,67,67,67,70,67,61,69,57
eu_14,73,79,86,78,70,80,81,85,78,75,77,78,79,77,81,73,77,71,69,68,77,74,70,65,73,70,71,63,72,74,68,63,69,72,75,76,85,83,85,60,78,82,79,69,85,77,79,72,69,69,69,70,68,75,80,75,78,71,79,69,72,77,69,72,68,80,78,77,77,71,71,79,77,78,74,76,76,69,81,79,71,76,76,83,75,84,76,81,80,83,69,79,77,70,66,65,70,68,14,0,65,79,70,73,80,76,78,71,84,74,68,79,67,85,69,73,71,79,61,47,73,79,67,67,71,78,69,83,78,74,70,73,77,69,73,62,79,80,70,71,83,71,88,86,79,74,82,72,79,77,71,81,79,73,80,79,85,85,87,80,83,81,71,71,70,66,76,71,72,83,70,72,68,70,119,78,72,76,77,79,75,70,79,65
eu_15,28,30,32,30,32,29,30,31,28,30,26,27,29,28,29,29,27,35,27,36,28,26,28,32,27,28,26,34,28,24,26,32,36,28,28,28,30,32,33,42,27,27,29,33,31,27,29,28,56,35,33,29,47,29,29,30,28,55,30,62,34,22,52,40,38,30,27,27,26,46,32,30,31,30,32,30,28,31,30,29,27,28,29,28,32,31,29,28,29,32,40,28,28,66,39,59,39,77,56,65,0,24,30,26,83,24,22,49,30,27,31,30,56,30,47,26,35,30,48,31,28,28,31,30,29,26,30,30,29,29,36,35,27,40,30,47,31,31,48,39,30,34,32,32,29,79,27,32,28,27,26,28,29,30,31,26,31,29,33,26,30,31,38,49,52,20,31,24,43,31,42,35,37,32,139,27,53,26,28,28,33,39,28,33
eu_16,22,13,20,20,24,18,18,16,19,22,20,19,17,19,19,17,18,37,24,34,21,18,23,31,22,23,21,36,22,21,32,38,37,22,24,20,18,16,20,42,17,18,15,32,19,18,21,22,59,32,33,25,42,23,15,23,18,55,20,65,28,10,55,35,38,19,15,19,17,45,34,20,21,18,29,20,22,27,17,16,27,22,15,18,25,16,24,19,18,16,38,22,20,69,39,58,30,90,70,79,24,0,27,17,85,14,11,46,14,24,34,18,58,19,49,23,32,19,54,48,25,14,30,28,26,17,31,11,18,26,36,35,20,43,20,48,20,20,52,43,18,35,21,20,17,83,18,33,18,20,23,19,15,22,20,19,18,20,19,18,16,17,38,50,52,25,22,21,41,19,38,38,30,29,145,19,51,18,19,20,27,39,19,37
eu_17,32,33,38,36,35,34,35,36,34,32,35,36,34,33,36,34,32,37,31,36,33,34,33,36,36,35,34,37,33,33,33,40,38,33,35,35,36,38,39,42,32,36,33,32,38,32,34,33,57,39,35,33,43,30,33,33,35,55,35,62,35,27,49,39,36,36,32,35,33,46,35,34,33,35,36,35,33,36,36,33,34,35,30,34,35,36,34,35,34,37,40,35,32,65,40,57,42,84,62,70,30,27,0,25,80,27,30,49,34,33,35,34,57,37,47,34,36,34,50,45,34,34,36,35,35,34,35,36,34,32,40,37,33,42,35,45,34,38,49,42,37,40,40,38,34,75,35,34,37,35,32,34,32,35,38,34,37,37,38,35,36,38,37,48,48,34,34,29,43,38,42,41,42,34,137,34,53,32,33,34,35,39,34,40
eu_18,26,26,30,24,26,23,28,29,20,24,29,26,27,22,28,27,24,35,27,35,22,26,22,30,28,23,23,34,22,29,32,40,34,22,28,25,29,28,30,39,26,27,26,31,30,24,28,22,53,30,29,27,37,29,25,26,28,53,28,60,26,22,52,29,32,28,28,28,28,37,32,21,22,28,31,23,21,29,26,27,28,27,28,26,23,28,29,27,26,27,35,18,23,64,36,57,38,84,65,73,26,17,25,0,72,21,23,43,22,28,33,26,54,28,41,27,35,16,52,47,25,27,30,29,27,26,32,27,25,27,36,35,26,42,30,41,29,30,50,39,28,37,32,30,27,77,26,31,26,26,22,25,27,28,30,29,29,30,31,28,29,30,37,50,46,24,19,20,41,29,38,41,38,30,138,26,50,28,25,27,32,37,25,33
