sec,sg_1,sg_2,sg_3,sg_4,sg_5,sg_5A,sg_6,sg_7,sg_8,sg_9,sg_10,sg_11,sg_12,sg_13,sg_14,sg_15,sg_16,sg_17,sg_18,sg_19,sg_20,sg_21,sg_22,sg_23,sg_24,sg_25,sg_26,sg_27,sg_28,sg_29,sg_30,sg_31,sg_32,sg_33,sg_34,sg_35,sg_36,sg_37,sg_38,sg_39,sg_40,sg_41,sg_42,sg_43,sg_44,sg_45,sg_46,sg_47,sg_48,sg_49,sg_50,sg_51,sg_52,sg_53,sg_53A,sg_54,sg_55,sg_55A,sg_56,sg_57,sg_58,sg_59,sg_60,sg_61,sg_62,sg_63,sg_64,sg_65,sg_66,sg_67,sg_68,sg_69,sg_70,sg_71,sg_72,sg_73,sg_74,sg_75,sg_76,sg_77,sg_78,sg_79,sg_80,sg_81,sg_81A,sg_81B,sg_82,sg_83,sg_84,sg_85,sg_85A,sg_85B,sg_86,sg_87,sg_88,sg_89,sg_90,sg_91,sg_92,sg_93,sg_93A,sg_93B,sg_93C,sg_93D,sg_93E,sg_93F,sg_93G,sg_93H,sg_93I,sg_93J,sg_93K,sg_93L,sg_94,sg_95,sg_96,sg_97,sg_98,sg_99,sg_100,sg_101,sg_102,sg_103,sg_104,sg_105,sg_105A,sg_106,sg_107,sg_108,sg_109,uk_1,uk_2,uk_3,uk_4,uk_5,uk_5A,uk_6,uk_6A,uk_7,uk_8,uk_9,uk_10,uk_10A,uk_10B,uk_11,uk_11A,uk_12,uk_13,uk_14,uk_15,uk_16,uk_17,uk_18,uk_19,uk_20,uk_21,uk_21A,uk_21B,uk_21C,uk_21D,uk_21E,uk_21F,uk_22,uk_23,uk_24,uk_25,uk_26,uk_27,uk_28,uk_29,uk_30,uk_31,uk_32,uk_33,uk_34,uk_35,uk_36,uk_37,uk_38,uk_39,uk_40,uk_41,uk_42,uk_43,uk_44,uk_45,uk_46,uk_47,uk_48,uk_49,uk_50,uk_51,uk_52,uk_53,uk_54,uk_55,uk_56,uk_57,uk_58,uk_59,uk_60,uk_60A,uk_62,uk_63,uk_64,uk_65,uk_66,uk_67,uk_68,uk_69,uk_70,uk_71,uk_72,uk_73,uk_74,uk_75,uk_76,uk_77,uk_78,uk_79,uk_80,uk_81,uk_82,uk_83,uk_83A,uk_84,uk_85,uk_86,uk_87,uk_88,uk_89,uk_90,uk_91,uk_92,uk_92A,uk_93,uk_94,uk_95,uk_96,uk_97,uk_98,uk_99,uk_99A,uk_100,uk_101,uk_102,uk_103,uk_104,uk_105,uk_106,uk_107,uk_108,uk_109,uk_110
sg_59,71,67,65,67,62,59,64,57,59,53,60,60,65,63,57,70,65,58,64,63,61,62,63,59,65,62,63,55,57,61,60,63,58,63,62,61,62,62,60,61,68,57,63,69,61,59,64,59,55,60,58,55,54,59,67,55,65,63,45,48,34,0,69,66,60,66,68,68,70,59,62,66,69,66,61,61,60,66,62,76,65,58,65,59,63,76,56,63,64,66,60,62,59,61,60,59,56,61,65,67,61,61,63,60,62,61,60,60,59,61,66,67,57,62,61,66,56,71,63,58,59,63,61,59,65,66,62,68,65,72,67,57,67,59,54,63,63,53,60,63,61,65,70,60,59,61,60,63,59,63,61,61,62,64,62,64,65,67,65,59,56,62,62,61,61,68,58,63,69,61,59,62,69,64,60,60,65,58,57,70,60,64,63,61,63,63,59,65,69,66,62,69,68,60,60,63,61,59,42,30,66,70,70,56,58,61,63,63,66,60,66,59,59,62,73,64,61,59,76,64,67,65,61,64,64,65,60,57,57,60,61,64,60,68,59,61,55,63,62,67,61,58,59,61,62,67,63,65,62,59,75,71,71
sg_60,14,14,73,13,21,32,28,37,37,50,36,49,22,31,43,14,20,27,21,20,27,27,21,32,18,22,33,46,29,47,39,21,37,54,54,48,23,28,34,50,17,53,26,13,61,49,17,50,47,53,24,33,53,49,14,54,25,28,75,83,48,69,0,9,37,18,17,14,14,31,30,21,15,20,28,29,41,19,26,13,29,33,16,22,32,13,53,58,24,14,44,26,34,30,48,30,40,29,19,18,36,30,16,44,26,30,35,35,30,29,18,18,52,23,65,25,46,14,27,33,41,19,27,27,17,16,42,14,19,9,13,37,20,37,61,21,68,50,64,33,29,78,85,31,43,47,39,21,35,54,44,46,54,58,34,17,24,22,21,33,39,23,28,32,50,17,56,26,13,61,49,21,15,18,36,49,22,44,43,14,31,21,20,27,26,21,32,18,0,9,33,73,18,48,18,39,49,56,42,41,30,13,14,35,36,22,45,20,20,41,22,44,41,53,14,22,39,31,13,29,16,16,31,29,61,68,28,50,48,63,53,71,46,17,49,22,33,53,42,15,27,53,27,47,33,15,22,19,26,35,14,11,14
sg_61,16,14,71,13,20,28,22,37,36,49,33,49,20,29,42,12,18,24,19,20,24,26,19,31,18,22,33,45,29,44,37,19,35,51,49,48,23,26,33,46,17,49,25,17,56,48,16,51,45,54,19,35,50,47,16,52,24,27,75,79,44,66,9,0,35,18,16,16,16,25,30,21,14,22,28,29,41,19,25,17,29,33,14,19,30,17,46,56,24,16,41,24,34,30,49,30,39,27,22,16,33,28,18,41,24,30,37,33,30,27,21,16,49,21,61,22,42,13,26,30,34,11,26,27,17,13,42,16,18,11,13,37,22,36,59,21,66,49,61,33,28,76,84,32,42,44,37,19,34,51,40,45,49,54,31,19,19,21,21,32,39,23,26,31,46,17,52,25,17,56,48,20,17,13,33,49,20,42,42,12,27,19,20,24,25,19,31,18,9,0,30,69,18,46,17,38,50,52,38,41,29,15,16,29,34,21,41,21,22,41,20,41,34,50,16,22,37,30,17,28,19,14,30,28,60,64,29,47,46,62,53,69,45,16,47,17,35,52,42,18,27,50,27,47,30,14,22,18,27,34,17,16,16
sg_62,38,36,61,26,35,34,28,38,36,41,37,43,35,34,40,33,32,26,32,30,32,33,31,37,33,32,33,45,35,42,32,35,35,46,44,43,31,34,37,37,31,37,32,37,51,41,33,42,39,50,34,35,40,43,35,51,32,33,67,71,43,60,37,35,0,34,21,33,36,31,32,33,35,34,33,29,36,35,34,40,31,28,32,33,31,40,43,53,32,34,42,34,36,33,41,34,39,31,33,36,35,35,34,42,34,33,35,37,34,31,32,36,47,33,59,29,42,38,34,26,36,33,29,33,33,35,42,34,35,33,26,38,33,36,52,32,58,41,56,33,34,67,69,35,41,42,32,35,34,46,38,42,44,47,36,36,36,33,34,38,36,31,34,36,37,31,37,32,37,51,41,35,36,33,37,43,35,36,40,33,29,32,30,32,31,31,37,33,37,35,36,69,33,46,33,37,46,48,36,39,29,36,36,30,36,31,42,34,34,36,27,31,36,37,38,34,34,32,40,31,30,32,25,24,51,57,31,49,38,52,49,60,37,34,45,34,35,49,36,36,35,38,33,38,33,34,32,35,33,31,39,38,38
sg_63,19,20,70,19,13,24,27,31,30,48,35,49,17,27,40,18,15,22,11,14,19,21,11,27,19,23,27,40,28,39,35,20,34,51,48,47,23,26,30,44,19,48,23,20,55,46,21,48,45,52,17,32,49,44,18,51,25,30,73,79,45,66,18,18,34,0,19,12,15,26,28,12,18,14,28,29,41,11,17,20,31,33,14,15,23,20,50,54,24,16,44,21,35,30,47,28,37,28,20,20,32,28,19,44,21,30,33,33,28,28,19,20,49,20,62,25,44,20,26,28,35,12,28,27,18,18,39,18,17,20,19,31,24,30,55,23,64,48,59,27,26,73,81,30,42,39,35,20,33,51,40,43,48,54,31,18,23,20,19,27,36,23,26,28,44,19,51,23,20,55,46,13,17,20,35,49,17,39,40,18,27,11,14,19,25,11,27,19,18,18,33,70,21,45,18,39,47,52,39,40,28,13,15,30,32,24,41,25,15,41,22,39,35,47,20,14,37,33,20,29,20,14,31,27,56,65,31,44,45,61,53,68,48,19,46,15,32,48,39,20,29,51,27,43,26,19,24,17,28,35,20,20,19
sg_64,20,20,68,7,22,30,26,35,34,48,32,46,20,30,40,15,16,17,19,17,23,24,18,30,18,20,27,41,30,41,35,21,34,48,48,43,19,25,29,42,19,45,22,20,55,47,17,47,44,51,24,33,47,45,19,53,22,23,74,80,47,68,17,16,21,19,0,17,20,28,29,22,16,21,29,27,40,19,27,20,28,29,15,20,29,20,47,54,19,16,42,25,31,28,47,30,35,24,18,21,32,28,18,42,25,28,34,34,30,24,17,21,51,21,64,22,43,20,27,25,38,18,26,22,18,18,40,16,19,13,7,35,19,34,58,19,64,48,61,27,25,71,80,28,42,41,35,21,32,48,39,42,48,54,31,21,22,21,22,31,35,19,25,27,42,19,48,22,20,55,47,22,18,14,32,46,20,41,40,15,25,19,17,23,22,18,30,18,17,16,28,65,20,47,20,36,49,54,41,41,25,19,20,32,34,23,43,22,21,40,16,35,38,46,20,21,36,27,20,28,20,15,22,21,54,65,25,46,41,58,49,68,41,19,48,22,33,51,41,21,25,47,22,44,30,19,23,19,29,33,21,21,20
sg_65,12,15,74,19,18,29,29,31,31,50,35,50,19,32,43,13,17,26,13,10,23,25,14,26,15,22,31,44,28,44,40,19,33,52,50,48,21,26,31,48,16,53,23,16,57,50,23,51,46,56,20,35,54,47,17,54,28,31,76,82,48,68,14,16,33,12,17,0,10,28,29,16,14,14,30,28,42,9,21,13,28,35,16,19,30,13,53,55,22,11,46,25,35,28,47,31,38,29,17,17,34,30,17,46,25,28,34,35,31,29,17,17,53,21,65,20,45,15,27,32,36,11,25,27,19,19,42,16,18,13,19,31,20,31,59,21,67,50,63,31,26,77,84,30,42,44,40,19,31,52,40,44,50,56,30,18,23,20,19,28,35,21,26,29,48,16,56,23,16,57,50,18,11,23,35,50,19,44,43,13,30,13,10,23,22,14,26,15,14,16,32,74,16,48,17,42,49,54,41,41,27,10,10,32,35,23,47,23,15,42,21,42,36,50,14,14,40,32,13,27,19,16,31,28,62,69,30,52,46,63,55,70,48,14,49,18,35,52,41,18,27,53,27,47,29,14,21,18,29,36,14,14,12
sg_66,9,11,76,18,21,33,31,36,36,52,38,50,23,34,44,11,22,30,17,15,25,27,19,31,17,23,30,45,30,44,42,19,35,53,53,49,21,27,32,50,14,55,24,15,60,50,21,51,47,56,22,35,55,50,15,55,30,33,79,83,49,70,14,16,36,15,20,10,0,29,29,18,15,16,30,31,46,13,25,9,31,38,19,21,32,9,56,60,24,14,49,26,35,31,50,33,39,31,22,17,36,30,17,49,26,31,36,36,33,31,22,17,54,25,66,25,46,11,29,34,41,16,26,27,21,20,44,15,18,10,18,36,22,36,61,25,69,52,65,30,27,77,84,31,44,44,42,19,34,53,43,48,53,57,31,17,24,21,20,31,38,21,27,30,50,14,58,24,15,60,50,21,11,25,38,50,23,45,44,11,33,17,15,25,24,19,31,17,14,16,35,75,13,49,13,43,51,55,43,41,31,2,0,32,37,22,48,24,16,46,21,45,41,49,7,16,41,34,9,31,15,19,28,33,62,69,30,52,46,65,56,72,49,16,53,20,35,55,41,16,29,56,27,47,32,13,22,18,31,37,10,11,9
sg_67,33,32,62,30,24,23,23,28,25,43,31,43,26,25,35,30,24,23,26,28,27,28,23,29,30,30,33,36,31,38,31,26,34,49,46,43,31,32,35,34,32,41,31,31,50,40,32,47,40,52,21,31,43,39,30,49,27,31,67,69,36,59,31,25,31,26,28,28,29,0,21,28,28,28,30,28,36,29,21,36,34,31,25,27,26,36,33,50,30,29,39,26,32,31,44,27,33,24,31,28,32,26,29,39,26,31,36,35,27,24,31,28,45,26,55,29,39,32,27,27,29,21,30,31,26,26,36,31,28,34,30,28,27,25,53,29,57,43,56,33,32,68,72,31,40,38,31,26,33,49,37,42,46,44,33,30,31,31,32,35,37,31,32,34,34,32,44,31,31,50,40,24,31,24,31,43,26,37,35,30,26,26,28,27,33,23,29,30,31,25,35,61,32,44,30,38,41,45,30,34,30,31,29,4,31,28,36,28,27,36,28,32,29,38,34,27,35,31,36,33,33,25,32,27,51,57,34,43,42,55,47,63,43,33,41,22,31,48,40,33,34,42,31,41,25,29,30,28,31,35,35,34,33
sg_68,33,31,65,28,28,25,28,31,31,45,35,43,28,27,38,32,26,28,26,29,27,28,26,31,28,28,33,39,30,36,35,27,33,50,47,42,30,32,35,38,29,45,29,33,52,42,29,46,41,48,26,29,45,40,30,48,26,34,67,72,41,62,30,30,32,28,29,29,29,21,0,26,30,28,31,32,36,25,25,36,31,30,28,27,27,36,39,52,33,30,41,25,26,30,41,29,34,27,29,29,34,33,30,41,25,30,35,34,29,27,29,29,45,27,57,29,39,33,27,29,34,26,29,30,27,28,38,30,30,32,28,31,28,31,53,28,61,45,59,33,30,68,71,32,38,36,35,27,32,50,40,45,47,44,29,29,33,30,31,34,36,30,32,33,38,29,48,29,33,52,42,28,32,26,35,43,28,40,38,32,29,26,29,27,30,26,31,28,30,30,35,65,31,44,32,31,44,47,36,36,31,31,29,23,29,31,37,25,27,36,30,37,34,42,33,26,37,33,36,33,31,28,32,27,53,59,30,47,45,54,45,62,43,33,40,28,29,47,36,33,33,44,30,43,25,30,27,30,28,35,35,33,33
sg_69,22,22,69,19,20,27,29,30,31,49,34,48,23,33,41,21,23,27,19,18,26,26,19,24,25,27,23,40,28,36,38,23,34,51,50,48,25,26,30,45,18,52,27,23,56,46,21,48,44,52,22,32,52,45,20,51,29,32,75,80,47,66,21,21,33,12,22,16,18,28,26,0,22,15,30,29,41,15,16,23,28,36,22,21,33,23,51,55,25,18,45,27,34,29,45,29,34,31,23,22,36,30,21,45,27,29,31,32,29,31,22,22,50,25,61,26,42,22,29,32,35,11,21,28,22,22,39,21,22,21,19,30,25,31,57,25,66,49,59,23,28,73,78,27,40,36,38,23,33,51,42,42,50,53,30,20,26,22,22,27,37,25,26,29,45,18,55,27,23,56,46,20,21,22,34,48,23,42,41,21,30,19,18,26,26,19,24,25,21,21,35,69,22,45,20,41,50,54,40,40,28,16,18,32,34,23,42,18,16,41,22,42,35,44,23,16,35,33,23,26,20,22,32,31,55,64,30,50,45,59,51,67,44,22,49,20,32,50,37,21,28,50,28,42,32,22,23,22,27,34,23,21,22
sg_70,14,16,74,18,19,31,28,34,34,49,34,46,22,30,42,15,17,28,18,18,28,30,18,28,19,19,35,46,29,45,39,18,34,51,52,47,26,31,35,49,15,53,27,14,58,48,22,51,43,55,24,36,53,45,17,51,28,31,75,81,46,69,15,14,35,18,16,14,15,28,30,22,0,18,28,28,39,17,27,16,29,34,13,20,30,16,49,50,19,16,42,24,33,27,48,30,41,27,20,17,30,24,17,42,24,27,36,35,30,27,19,17,52,23,65,23,43,15,26,31,37,17,25,29,17,15,38,14,17,14,18,34,19,34,57,26,67,49,62,35,31,75,83,35,43,45,39,18,33,51,42,45,52,53,33,19,21,19,22,32,36,26,31,34,49,15,56,27,14,58,48,19,15,22,34,46,22,42,42,15,29,18,18,28,28,18,28,19,15,14,35,74,15,47,16,40,50,55,39,41,25,16,15,32,34,21,47,11,18,39,20,41,37,51,15,21,38,31,16,29,17,13,31,29,62,66,30,51,45,63,54,69,45,15,50,22,36,51,40,16,26,51,29,44,28,15,23,17,29,34,16,17,14
sg_71,20,20,70,21,18,26,30,30,30,50,36,48,21,33,42,20,23,28,18,16,26,27,19,28,20,22,29,42,29,40,39,21,35,51,51,47,23,27,29,46,21,52,24,20,58,44,22,49,44,52,23,33,53,46,17,54,28,29,73,78,45,66,20,22,34,14,21,14,16,28,28,15,18,0,26,31,41,12,20,22,29,36,20,21,31,22,52,54,25,17,46,26,35,30,48,30,36,30,22,22,35,27,19,46,26,30,34,33,30,30,21,22,52,24,63,24,44,22,28,30,35,13,26,25,23,21,40,21,22,20,21,30,24,30,58,24,66,50,62,29,26,72,78,28,38,40,39,21,33,51,41,43,51,52,32,21,24,21,23,27,36,23,27,27,46,21,55,24,20,58,44,18,20,25,36,48,21,43,42,20,31,18,16,26,23,19,28,20,20,22,33,68,22,48,22,40,47,51,38,40,29,14,16,31,35,22,45,24,1,41,23,41,35,45,21,15,39,34,22,28,22,20,32,32,54,64,29,48,46,60,53,68,46,21,47,21,33,51,39,21,28,52,25,43,31,19,21,22,29,37,21,19,20
sg_72,30,28,68,28,28,34,26,34,36,42,34,46,28,30,39,28,24,29,26,27,31,33,26,34,25,26,33,42,29,46,36,26,34,49,48,44,30,32,34,44,29,50,30,27,50,41,28,48,35,51,29,34,49,42,26,49,30,32,69,73,43,61,28,28,33,28,29,30,30,30,31,30,28,26,0,22,39,30,28,31,32,34,25,29,32,31,46,51,29,26,40,26,34,27,44,32,39,31,26,28,33,28,23,40,26,27,33,32,32,31,26,28,46,28,59,23,41,29,28,26,41,28,31,30,21,26,40,25,28,29,28,34,29,36,53,31,57,42,57,33,32,67,76,32,36,46,36,26,32,49,38,44,48,47,34,30,26,26,29,33,37,30,32,33,44,29,51,30,27,50,41,28,28,30,34,46,28,39,39,28,30,26,27,31,31,26,34,25,28,28,36,67,30,46,28,40,46,49,37,40,28,30,30,33,34,25,44,29,26,39,28,38,41,45,30,30,34,34,31,30,26,25,30,29,55,58,28,49,42,60,49,63,44,29,47,30,34,44,38,27,30,48,30,42,29,26,30,28,26,36,31,26,30
sg_73,31,29,67,27,29,35,28,35,35,42,34,46,29,32,39,28,24,29,27,24,30,30,26,31,25,28,33,43,30,43,35,27,32,47,46,41,29,32,35,46,28,49,31,25,47,42,29,45,38,53,29,35,49,42,28,46,32,33,67,73,42,61,29,29,29,29,27,28,31,28,32,29,28,31,22,0,36,29,29,33,31,35,25,31,29,33,47,51,26,28,37,29,33,29,44,31,39,32,26,29,34,28,26,37,29,29,32,34,31,32,26,29,45,28,59,26,40,30,31,25,39,30,29,31,23,29,39,28,29,31,27,35,28,35,51,28,59,42,55,33,31,68,73,34,36,43,35,27,32,47,38,41,46,50,32,30,29,27,30,34,36,29,32,33,46,28,51,31,25,47,42,29,29,30,34,46,29,39,39,28,30,27,24,30,31,26,31,25,29,29,34,67,30,42,28,42,47,52,36,39,30,31,31,32,35,25,46,30,31,36,27,30,39,46,31,29,34,34,33,31,28,25,32,28,55,60,29,46,38,56,52,64,43,30,49,30,35,48,38,29,30,47,31,40,31,29,28,29,27,34,32,28,31
sg_74,44,44,66,42,41,34,39,39,39,43,35,45,37,39,40,45,38,37,38,41,38,38,39,37,39,39,41,42,36,38,40,38,37,46,45,47,39,41,41,44,41,45,37,37,48,40,41,47,43,51,37,41,47,46,41,46,37,41,66,68,46,60,41,41,36,41,40,42,46,36,36,41,39,41,39,36,0,42,37,47,37,39,38,38,38,47,38,41,38,41,41,37,38,40,47,37,40,35,39,39,39,43,41,41,37,40,39,36,37,35,39,39,46,38,58,41,45,44,39,41,36,39,39,35,36,39,41,42,39,45,42,39,38,39,52,37,58,43,57,41,41,66,74,38,39,38,40,38,36,46,41,42,45,50,37,39,44,43,42,43,43,39,41,41,44,41,48,37,37,48,40,41,40,38,35,45,37,40,40,45,41,38,41,38,40,39,37,39,41,41,42,64,41,41,43,37,46,46,43,39,39,45,46,37,35,38,42,38,41,0,41,39,36,48,46,42,40,37,47,36,41,38,43,38,54,62,41,45,42,54,51,62,45,46,45,37,41,50,43,40,39,43,35,45,36,40,39,39,40,41,45,45,44
sg_75,18,18,72,18,14,27,29,29,30,50,36,47,21,33,42,17,20,27,15,13,22,25,16,25,19,23,29,40,28,41,40,19,35,51,49,47,23,26,29,46,17,49,23,20,56,47,23,49,44,53,22,33,51,47,18,52,28,30,74,80,48,66,19,19,35,11,19,9,13,29,25,15,17,12,30,29,42,0,19,19,31,36,20,19,30,19,53,56,25,16,46,25,34,31,47,30,34,29,20,20,35,27,19,46,25,31,33,35,30,29,19,20,52,24,64,23,44,19,25,32,35,13,26,25,21,19,42,18,19,18,18,29,20,30,58,23,67,50,62,29,27,74,80,29,40,41,40,19,33,51,41,45,49,56,28,19,24,20,20,26,35,23,26,27,46,17,52,23,20,56,47,14,17,24,36,47,21,43,42,17,32,15,13,22,24,16,25,19,19,19,33,71,19,46,18,42,48,53,41,40,28,11,13,33,33,24,44,24,13,42,21,43,35,47,18,5,38,33,19,30,20,20,32,31,58,65,31,47,47,62,52,68,46,19,49,20,33,48,39,19,28,53,25,45,28,19,23,19,29,37,20,19,18
sg_76,28,27,66,27,22,23,30,27,28,45,34,46,23,29,37,27,24,27,19,23,28,27,20,22,27,27,31,36,27,39,35,26,32,48,46,44,27,29,30,39,24,48,27,27,54,44,24,46,42,49,21,32,49,35,25,49,30,30,69,74,43,62,26,25,34,17,27,21,25,21,25,16,27,20,28,29,37,19,0,29,27,37,21,20,30,29,46,50,29,23,39,25,34,28,44,30,32,29,28,25,27,28,25,39,25,28,32,30,30,29,28,25,46,26,54,25,41,26,30,32,33,17,24,26,22,19,39,26,23,27,27,27,27,28,50,28,60,45,56,31,29,69,76,27,37,39,35,26,31,48,39,41,46,50,30,27,26,25,27,30,34,27,29,30,39,24,51,27,27,54,44,22,26,23,34,46,23,40,37,27,30,19,23,28,27,20,22,27,26,25,35,64,28,43,26,42,45,49,36,37,28,23,25,25,34,24,35,20,21,37,27,39,33,42,29,20,35,31,29,26,27,21,35,34,54,59,31,44,44,58,48,63,44,28,43,19,32,47,35,26,30,47,26,42,27,25,25,23,30,34,30,27,28
sg_77,11,12,82,19,26,38,33,41,41,57,42,55,26,35,49,10,22,34,22,20,32,34,23,36,19,25,38,52,32,52,45,21,39,60,59,54,28,34,39,57,16,61,31,15,65,54,25,57,52,62,28,41,60,52,17,59,33,36,84,90,54,76,13,17,40,20,20,13,9,36,36,23,16,22,31,33,47,19,29,0,32,42,18,24,36,0,58,64,27,15,51,30,39,33,55,37,46,33,22,19,40,33,19,51,30,33,41,40,37,33,21,19,59,27,72,26,52,11,31,37,46,21,30,33,20,21,47,16,22,9,19,41,24,41,67,29,74,57,71,38,34,83,92,38,47,52,45,21,37,60,48,52,59,63,36,19,25,22,22,36,43,28,34,37,57,16,64,31,15,65,54,26,13,27,42,55,26,49,49,10,35,22,20,32,31,23,36,19,13,17,40,80,18,53,18,47,56,62,47,46,33,10,9,40,40,26,54,26,22,47,23,49,46,57,8,23,44,38,0,32,20,18,37,35,69,75,35,59,53,70,61,76,53,17,57,26,41,59,45,17,31,60,33,52,35,15,25,22,33,41,5,10,11
sg_78,30,32,67,27,32,33,29,36,36,46,37,47,31,33,40,32,29,28,30,30,27,30,31,31,27,28,31,41,30,40,38,29,33,49,48,43,22,27,35,43,23,53,26,26,55,42,23,50,43,49,29,38,50,42,28,48,27,30,71,75,48,65,29,29,31,31,28,28,31,34,31,28,29,29,32,31,37,31,27,32,0,37,29,30,32,32,48,51,27,27,41,31,34,29,45,34,35,30,27,26,32,32,29,41,31,29,33,33,34,30,27,26,45,30,59,23,38,32,30,32,39,29,26,25,27,28,41,27,29,29,27,36,28,36,52,28,62,46,58,31,29,70,79,31,38,40,38,29,31,49,39,44,48,52,29,30,32,26,26,36,38,22,27,33,43,23,55,26,26,55,42,32,29,26,37,47,31,40,40,32,33,30,30,27,26,31,31,27,29,29,31,68,31,42,30,39,48,52,42,38,28,31,31,38,33,28,38,28,29,37,28,40,39,49,31,30,33,31,32,8,30,29,32,31,55,61,30,47,42,57,43,61,44,31,44,29,38,49,38,28,31,47,25,40,30,29,22,29,28,31,33,30,30
sg_79,38,34,66,30,26,32,29,39,37,46,30,42,23,28,35,36,29,32,27,32,31,32,27,36,32,34,37,46,34,43,37,31,39,50,47,48,34,37,39,42,36,37,34,35,53,46,32,42,40,51,25,32,35,45,35,46,31,37,62,67,33,58,33,33,28,33,29,35,38,31,30,36,34,36,34,35,39,36,37,42,37,0,32,33,30,42,42,54,35,35,42,31,36,33,46,32,41,33,34,36,40,37,30,42,31,33,39,35,32,33,35,36,48,24,56,34,44,36,28,31,39,35,35,34,33,32,42,34,32,34,30,39,36,37,56,33,60,46,57,37,35,70,66,37,42,43,37,31,38,50,42,44,47,45,33,32,29,37,34,34,36,34,37,39,42,36,40,34,35,53,46,26,35,25,30,42,23,34,35,36,31,27,32,31,35,27,36,32,33,33,37,66,37,47,36,32,47,44,35,40,29,39,38,32,30,35,42,34,36,39,35,38,39,48,39,35,37,36,42,35,32,32,26,20,56,60,29,49,43,56,49,62,32,35,44,28,32,45,41,37,34,34,34,45,31,32,32,32,38,36,40,39,38
sg_80,17,18,71,17,19,29,24,34,33,46,33,47,15,26,39,15,11,24,17,18,25,25,14,28,19,18,33,42,24,45,37,17,32,51,50,42,25,28,32,46,19,50,26,16,54,45,21,51,43,54,19,36,48,43,17,51,25,31,71,75,44,65,16,14,32,14,15,16,19,25,28,22,13,20,25,25,38,20,21,18,29,32,0,18,27,18,45,51,21,15,39,22,32,29,48,27,38,25,21,17,29,26,18,39,22,29,37,32,27,25,20,17,48,16,59,20,43,17,25,27,37,16,28,26,11,11,39,18,16,18,17,34,22,33,58,25,61,46,60,33,28,71,79,33,40,45,37,17,31,51,39,43,50,53,30,18,23,19,20,34,38,25,28,30,46,19,52,26,16,54,45,19,16,17,33,47,15,38,39,15,27,17,18,25,28,14,28,19,16,14,33,69,19,45,18,38,46,51,37,39,27,19,19,28,33,22,44,22,20,38,20,38,37,48,19,21,36,30,18,29,20,0,30,25,59,63,30,45,42,62,50,67,46,20,46,18,36,51,41,18,27,47,26,44,28,17,23,16,28,34,17,16,17
sg_81,22,13,68,22,19,27,24,33,33,44,33,46,19,32,36,21,17,24,17,20,22,24,17,27,22,22,31,41,26,43,36,22,30,48,47,46,23,28,30,45,23,45,27,24,51,47,17,49,41,51,20,33,47,41,21,47,26,29,69,75,44,59,22,19,33,15,20,19,21,27,27,21,20,21,29,31,38,19,20,24,30,33,18,0,28,24,45,53,22,19,41,19,29,29,45,28,36,26,23,21,30,28,21,41,19,29,34,32,28,26,22,21,47,21,59,26,42,22,25,29,37,17,26,24,18,17,38,22,21,23,22,33,26,33,52,25,62,44,58,31,26,70,78,31,42,43,36,22,29,48,39,44,47,52,33,23,25,23,22,31,34,23,28,29,45,23,48,27,24,51,47,19,20,16,33,46,19,39,36,21,31,17,20,22,25,17,27,22,22,19,32,66,23,41,22,39,45,51,37,36,30,20,21,29,30,23,41,25,21,38,23,39,37,46,23,21,37,29,24,28,23,18,30,27,55,59,31,47,41,59,48,66,44,22,42,19,33,47,37,22,25,49,24,41,26,21,23,21,28,34,23,24,22
sg_81A,33,33,67,30,27,29,30,36,33,47,36,44,29,31,40,32,25,25,24,27,23,25,24,35,29,30,34,42,32,39,36,28,36,49,45,41,27,30,34,40,34,43,27,31,51,46,31,45,41,51,27,35,44,45,30,49,26,31,67,73,42,63,32,30,31,23,29,30,32,26,27,33,30,31,32,29,38,30,30,36,32,30,27,28,0,36,43,49,31,30,39,25,33,31,44,28,38,25,30,32,33,32,31,39,25,31,36,34,28,25,29,32,49,28,61,29,39,34,30,30,38,30,30,32,27,30,40,30,29,35,30,36,30,33,55,27,60,47,56,34,30,68,75,33,42,39,36,28,34,49,38,43,45,46,32,29,32,31,32,35,36,27,30,32,40,34,46,27,31,51,46,27,30,29,36,44,29,35,40,32,29,24,27,23,29,24,35,29,32,30,33,66,33,45,32,35,45,50,37,36,31,32,32,28,29,28,39,31,30,38,29,37,38,48,34,30,35,33,36,33,31,27,32,27,55,60,32,46,43,55,49,64,43,32,44,27,35,49,41,33,33,45,32,43,28,31,28,29,33,35,36,35,33
